,Código do componente,Nome do componente,Link do componente,Docente,Horário,Local da aula,Carga horária,Tamanho da turma
23,CET0015,SEMINÁRIOS EM TURISMO 3,,MARIANA TOMAZIN,Terça-feira 10:00 às 11:50  , CET - Módulo C,30h,30
24,CET0022,ELABORAÇAO DE PROJETOS EM TURISMO,,JOAO PAULO FARIA TASSO,Terça-feira 14:00 às 17:50  , CET - Módulo D (sala de aula),60h,40
25,CET0031,FUNDAMENTOS DE  ECONOMETRIA  APLICADA AO TURISMO,,JEFFERSON LORENCINI GAZONI,Segunda-feira 14:00 às 15:50  , CET,30h,30
26,CET0036,SEMINÁRIOS EM TURISMO 6,,NEUZA DE FARIAS ARAUJO,Sexta-feira 10:00 às 11:50  , CET - Módulo C,30h,40
27,CET0037,SEMINÁRIOS EM TURISMO 7,,NEUZA DE FARIAS ARAUJO,Sexta-feira 08:00 às 09:50  , CET - Módulo C,30h,40
28,CET0038,ESTUDO DO TURISMO 1,,THIAGO SEBASTIANO DE MELO,Quarta-feira 08:00 às 11:50  , CET - Módulo D (sala de aula),60h,45
29,CET0039,SUSTENTABILIDADE ÉTICA E TURISMO,,JOAO PAULO FARIA TASSO,Quinta-feira 14:00 às 17:50  , CET - Módulo E,60h,40
30,CET0040,ESTUDO DO TURISMO 2,,FAGNO TAVARES DE OLIVEIRA,Sexta-feira 08:00 às 11:50  , CET - Módulo D (sala de aula),60h,40
31,CET0041,CONSTRUÇÃO DO CONHECIMENTO CIENTÍFICO,,ANGELA TEBERGA DE PAULA,Terça-feira 08:00 às 11:50  , CET - Módulo D (sala de aula),60h,40
32,CET0042,PROJETO INTEGRADOR EM TURISMO 1,,NEUZA DE FARIAS ARAUJO,Quinta-feira 14:00 às 17:50  , CET - Módulo B sala 2,60h,40
33,CET0043,ESTUDO DO TURISMO 3,,MARIANA TOMAZIN,Terça-feira 14:00 às 17:50  , CET - Módulo E,60h,40
34,CET0044,COMUNICAÇÃO NO TURISMO,,AYLANA LAISSA MEDEIROS BORGES,Sexta-feira 08:00 às 11:50  , CET - Módulo E,30h,40
35,CET0044,COMUNICAÇÃO NO TURISMO,,ANA ROSA DOMINGUES DOS SANTOS,Sexta-feira 08:00 às 11:50  , CET - Módulo E,30h,40
36,CET0045,ESTRUTURAS DE SUPORTE AO TURISMO,,LUIZ CARLOS SPILLER PENA,Quarta-feira 14:00 às 17:50  , CET - Módulo E,60h,40
37,CET0046,SEMINÁRIOS EM TURISMO 1,,THIAGO SEBASTIANO DE MELO,Segunda-feira 10:00 às 11:50  , CET - Módulo D (sala de aula),15h,30
38,CET0046,SEMINÁRIOS EM TURISMO 1,,EUZAMARA DE CARVALHO,Segunda-feira 10:00 às 11:50  , CET - Módulo D (sala de aula),15h,30
39,CET0050,EQUIPAMENTOS E SERVIÇOS TURÍSTICOS - HOSPEDAGEM,,ANGELA TEBERGA DE PAULA,Segunda-feira 14:00 às 17:50  , CET - Módulo E,60h,40
40,CET0051,EQUIPAMENTOS E SERVIÇOS TURÍSTICOS - LAZER,,THIAGO SEBASTIANO DE MELO,Segunda-feira 08:00 às 09:50  , CET - Módulo D (sala de aula),30h,40
41,CET0052,EQUIPAMENTOS E SERVIÇOS TURISTICOS-AGENCIAMENTO OPERAÇÃO E TRANSPORTE,,ANGELA TEBERGA DE PAULA,Quarta-feira 10:00 às 11:50  , CET - Módulo E,30h,40
42,CET0053,EQUIPAMENTOS E SERVIÇOS TURÍSTICOS - EVENTOS,,AYLANA LAISSA MEDEIROS BORGES,Quarta-feira 08:00 às 11:50  , CET - Módulo C,60h,40
43,CET0054,EQUIPAMENTOS E SERVIÇOS TURÍSTICOS - ALIMENTAÇÃO,,ANA ROSA DOMINGUES DOS SANTOS,Quinta-feira 08:00 às 11:50  , CET - Módulo D (Lab. Eventos e Gastronomia),60h,40
44,CET0055,PROJETO INTEGRADOR EM TURISMO 2,,THIAGO SEBASTIANO DE MELO,Terça-feira 08:00 às 09:50  , CET - Módulo D (Lab. Eventos e Gastronomia),30h,40
45,CEM0005,DECRESCIMENTO: CONSUMIR MENOS PARA QUE TODOS VIVAM MELHOR,,JOÃO LUIZ HOMEM DE CARVALHO,Terça-feira 19:00 às 20:40  , A definir,30h,40
46,CEM0007,SAÚDE DIREITOS HUMANOS E ANTROPOLOGIA,,HILTON PEREIRA DA SILVA,Terça-feira 14:00 às 17:50  , A definir,60h,40
47,CEM0009,GESTÃO E INOVAÇÃO DE PROCESSOS CRÍTICOS EM ORGANIZAÇÃO DE SERVIÇO,,GUILLERMO JOSE ASPER Y VALDES,Quarta-feira 08:00 às 09:50  , A definir,30h,15
48,CEM0015,"UNIVERSIDADE, SOCIEDADE E ESTADO",,MURILO SILVA DE CAMARGO,Segunda-feira 19:00 às 22:30  , A definir,60h,30
49,CEM0015,"UNIVERSIDADE, SOCIEDADE E ESTADO",,MURILO SILVA DE CAMARGO,Quarta-feira 19:00 às 22:30  , A definir,60h,30
50,CEM0018,LAYA YOGA - MEDITAÇÃO TERAPÊUTICA,,NADIR HILGER,Quarta-feira 16:00 às 17:50  , SG 10 - Núcleo de dança - Sala A,30h,15
51,CEM0021,DIVERSIDADE SEXUAL E DE GÊNERO E POLÍTICAS PÚBLICAS,,SILVIA BADIM MARQUES,Quarta-feira 19:00 às 22:30  , A definir,60h,40
52,CEM0021,DIVERSIDADE SEXUAL E DE GÊNERO E POLÍTICAS PÚBLICAS,,Alberto Luís Araújo Silva Filho                             ,Quarta-feira 19:00 às 22:30  , A definir,60h,40
53,CEM0021,DIVERSIDADE SEXUAL E DE GÊNERO E POLÍTICAS PÚBLICAS,,Tony Gigliotti Bezerra,Quarta-feira 19:00 às 22:30  , A definir,60h,40
54,CEM0021,DIVERSIDADE SEXUAL E DE GÊNERO E POLÍTICAS PÚBLICAS,,LUCAS BRITO DE LIMA,Quarta-feira 19:00 às 22:30  , A definir,60h,40
55,CEM0051,PROMOÇÃO DA SAÚDE 3,,ANDREA DE OLIVEIRA GONCALVES,Sábado 08:00 às 11:50  , A definir,60h,600
56,CEM0051,PROMOÇÃO DA SAÚDE 3,,ANDRE RIBEIRO DA SILVA,Sábado 08:00 às 11:50  , A definir,60h,600
57,CEM0051,PROMOÇÃO DA SAÚDE 3,,JACKELINE NERES BELLUCCI,Sábado 08:00 às 11:50  , A definir,60h,600
58,CEM0051,PROMOÇÃO DA SAÚDE 3,,RAUL LUÍS DE MELO DUSI,Sábado 08:00 às 11:50  , A definir,60h,600
59,CEM0051,PROMOÇÃO DA SAÚDE 3,,ISAIAS NERY FERREIRA,Sábado 08:00 às 11:50  , A definir,60h,600
60,CEM0051,PROMOÇÃO DA SAÚDE 3,,TAYANE MEDEIROS DE OLIVEIRA,Sábado 08:00 às 11:50  , A definir,60h,600
61,CEM0051,PROMOÇÃO DA SAÚDE 3,,JONATAS DE FRANCA BARROS,Sábado 08:00 às 11:50  , A definir,60h,600
62,CEM0051,PROMOÇÃO DA SAÚDE 3,,ALESSANDRA LISBOA DA SILVA,Sábado 08:00 às 11:50  , A definir,60h,600
63,CEM0054,INTRODUÇÃO A GESTÃO AMBIENTAL,,FERNANDO PAIVA SCARDUA,Terça-feira 14:00 às 15:50Quinta-feira 14:00 às 15:50  , A definir,60h,20
64,CEM0054,INTRODUÇÃO A GESTÃO AMBIENTAL,,FERNANDO PAIVA SCARDUA,Terça-feira 16:00 às 17:50Quinta-feira 16:00 às 17:50  , A definir,60h,20
65,CEM0056,PROCESSOS SÓCIO-HISTÓRICO CUBANO E CONTEXTO ATUAL,,MARTIN LEON JACQUES IBANEZ DE NOVION,Terça-feira 19:00 às 20:40  , A definir,30h,40
66,CEM0056,PROCESSOS SÓCIO-HISTÓRICO CUBANO E CONTEXTO ATUAL,,MARIA AUXILIADORA CESAR,Terça-feira 19:00 às 20:40  , A definir,30h,40
67,CEM0063,"VIOLÊNCIA, SEGURANÇA E CIDADANIA",,ADALBERTO DE SALLES LIMA,Quinta-feira 19:00 às 22:30  , A definir,60h,20
68,CEM0067,MULTICULTURALISMO E BUDISMO NA CONTEMPORANEIDADE,,PAULO RAMOS COELHO FILHO,Sexta-feira 08:00 às 11:50  , A definir,30h,60
69,CEM0067,MULTICULTURALISMO E BUDISMO NA CONTEMPORANEIDADE,,ROMULO GUILHERME FERREIRA DA SILVA,Sexta-feira 08:00 às 11:50  , A definir,15h,60
70,CEM0067,MULTICULTURALISMO E BUDISMO NA CONTEMPORANEIDADE,,RAFAELA ROCHA FEIJÓ,Sexta-feira 08:00 às 11:50  , A definir,15h,60
71,CEM0077,"DISCURSO, GENERO, SOCIAL E LETRAMENTO",,MARIA CARMEN AIRES GOMES,Terça-feira 16:00 às 17:50Quinta-feira 16:00 às 17:50  , A definir,60h,45
72,CEM0083,INTEGRAÇÃO NO MERCOSUL,,ALBENE MIRIAM MENEZES KLEMI,Segunda-feira 14:00 às 17:50  , A definir,60h,30
73,CEM0097,DIREITOS HUMANOS E CIDADANIA,,VANNESSA ALVES CARNEIRO,Quinta-feira 19:00 às 22:30  , A definir,60h,50
74,CEM0110,AGRICULTURA ALTERNATIVA,,JOÃO LUIZ HOMEM DE CARVALHO,Segunda-feira 08:00 às 11:50  , A definir,60h,40
75,CEM0110,AGRICULTURA ALTERNATIVA,,MANOEL PEREIRA DE ANDRADE,Segunda-feira 08:00 às 11:50  , A definir,60h,40
76,CEM0123,DECOLONIALIDADE E A MATRIZ PUNITIVA IBERO-AMERICANA,,MARCELO BORBA BERDET,Terça-feira 19:00 às 20:40  , A definir,30h,20
77,CEM0125,"HISTÓRIA E CINEMA: PERSPECTIVAS DOS FEMINISMOS NEGROS, DECOLONIAIS E INTERSECCIONAIS",,RENATA MELO BARBOSA DO NASCIMENTO,Quinta-feira 19:00 às 22:30  , A definir,60h,45
78,CEM0132,EXPERIÊNCIAS HISTÓRICAS DE REFORMA AGRÁRIA NO MUNDO,,LUIS ANTONIO PASQUETTI,Sexta-feira 19:00 às 19:50  , A definir,15h,50
79,CEM0134,EDUCAÇÃO E DESIGUALDADES SOCIAIS,,ADRIANO SOUZA SENKEVICS,Sexta-feira 08:00 às 11:50  , A definir,60h,30
80,CEM0136,A ORIGEM DA VIDA,,ANTONIO RAIMUNDO LIMA CRUZ TEIXEIRA,Sexta-feira 08:00 às 11:50  , A definir,60h,100
81,CBH0002,BIOÉTICA E BIOTECNOCIÊNCIAS,,MONIQUE TERESINHA PYRRHO DE SOUZA SILVA,Sexta-feira 08:00 às 11:50  , A definir,60h,20
82,CBH0004,BIOÉTICA E SAÚDE PÚBLICA,,SWEDENBERGER DO NASCIMENTO BARBOSA,Quarta-feira 14:00 às 17:50  , A definir,60h,20
83,CER0002,TÓPICOS EM ESTUDOS DO CERRADO 2,,MARIA JULIA MARTINS SILVA,Sábado 14:00 às 17:50  ," Centro UnB Cerrado, Alto Paraíso de Goiás",30h,10
84,CER0002,TÓPICOS EM ESTUDOS DO CERRADO 2,,MARIA FERNANDA NINCE FERREIRA,Sábado 14:00 às 17:50  ," Centro UnB Cerrado, Alto Paraíso de Goiás",30h,10
85,CER0002,TÓPICOS EM ESTUDOS DO CERRADO 2,,RENATO CAPARROZ,Sexta-feira 14:00 às 17:50  ," Centro UnB Cerrado, Alto Paraíso de Goiás",60h,10
86,DAP0001,BRANDING: UMA VISÃO PRÁTICA,,MARIA FERNANDA DANGELO VALENTIM,Quarta-feira 14:00 às 17:50  , presencial,30h,15
87,DAP0001,BRANDING: UMA VISÃO PRÁTICA,,EDMUNDO BRANDAO DANTAS,Quarta-feira 14:00 às 17:50  , presencial,30h,15
88,DAP0008,ARGUMENTO E ROTEIRO,,MAURO GIUNTINI VIANA,Quinta-feira 08:00 às 11:50  ," FAC - ICC Norte, Bloco A, Térreo - Sala 04",60h,33
89,DAP0011,CRIATIVIDADE EM PUBLICIDADE,,ISABELA LARA OLIVEIRA,Quarta-feira 14:00 às 17:50  ," FAC -ICC Norte,bloco A,Mezanino- Sl12 Lab. Mult.I",60h,30
90,DAP0021,CINEMA BRASILEIRO,,RAQUEL PACHECO MELLO CUNHA,Quinta-feira 08:00 às 11:50  ," FAC - ICC Norte, Bloco A, Térreo - Sala 05",60h,38
91,DAP0030,ADMINISTRAÇÃO PUBLICITÁRIA,,EDMUNDO BRANDAO DANTAS,Segunda-feira 10:00 às 11:50  ," FAC - ICC Norte, Bloco A, Térreo - Sala 07",30h,31
92,DAP0042,DOCUMENTÁRIO 2,,RAQUEL PACHECO MELLO CUNHA,Sexta-feira 08:00 às 11:50  ," FAC - ICC Norte, Bloco A, Térreo - Sala 01",60h,30
93,DAP0044,PESQUISA PUBLICITÁRIA,,EDMUNDO BRANDAO DANTAS,Sexta-feira 08:00 às 09:50  , Local à definir.,30h,35
94,DAP0055,FOTOGRAFIA E ILUMINACAO 2,,EMILIA SILVEIRA SILBERSTEIN,Sexta-feira 10:00 às 11:50  ," FAC - ICC Norte, Bloco A, Térreo - Sala 11",30h,30
95,DAP0060,PUBLICIDADE E SOCIEDADE,,BEATRIZ BERALDO BATISTA,Quinta-feira 08:00 às 11:50  ," FAC - ICC Norte, Bloco A, Térreo - Sala 01",48h,30
96,DAP0060,PUBLICIDADE E SOCIEDADE,,SUELEN BRANDES MARQUES VALENTE,Quinta-feira 08:00 às 11:50  ," FAC - ICC Norte, Bloco A, Térreo - Sala 01",12h,30
97,DAP0061,INTRODUCAO AS HISTORIAS EM QUADRINHOS,,LUCIANO MENDES DE SOUZA,Quarta-feira 14:00 às 17:50  , presencial,60h,20
98,DAP0067,HISTORIA DO CINEMA,,JOAO BATISTA LANARI BO,Quinta-feira 08:00 às 11:50  ," FAC -ICC Norte, bloco A, Mezanino - Sala 12",60h,40
99,DAP0076,FOTOGRAFIA E ILUMINAÇÃO 1,,EMILIA SILVEIRA SILBERSTEIN,Quinta-feira 08:00 às 09:50  ," FAC - ICC Norte, Bloco A, Térreo - Sala 11",30h,25
100,DAP0079,INTRODUÇÃO A FOTOGRAFIA,,EDUARDO BENTES MONTEIRO,Terça-feira 14:00 às 15:50Quinta-feira 14:00 às 15:50  ," FAC - ICC Norte, Bloco A, Térreo - Sala 07",60h,25
101,DAP0079,INTRODUÇÃO A FOTOGRAFIA,,EDUARDO BENTES MONTEIRO,Terça-feira 10:00 às 11:50Quinta-feira 10:00 às 11:50  ," FAC - ICC Norte, Bloco A, Térreo - Sala 07",60h,25
102,DAP0084,COMUNICAÇÃO E SOCIEDADE,,WLADIMIR GANZELEVITCH GRAMACHO,Sexta-feira 08:00 às 11:50  ," FAC -ICC Norte, bloco A, Mezanino - Sala 13",60h,40
103,DAP0084,COMUNICAÇÃO E SOCIEDADE,,WLADIMIR GANZELEVITCH GRAMACHO,Quinta-feira 08:00 às 11:50  ," FAC -ICC Norte, bloco A, Mezanino - Sala 13",60h,40
104,DAP0093,PRODUÇÃO 2,,SERGIO RIBEIRO DE AGUIAR SANTOS,Segunda-feira 10:00 às 11:50  ," FAC - ICC Norte, Bloco A, Térreo - Sala 08",30h,30
105,DAP0096,OFICINA BÁSICA DE AUDIOVISUAL,,ARMANDO BULCAO,Quarta-feira 10:00 às 11:50  ," FAC - ICC Norte, Bloco A, Térreo - Sala 02",30h,25
106,DAP0096,OFICINA BÁSICA DE AUDIOVISUAL,,CARLOS HENRIQUE NOVIS,Quarta-feira 19:00 às 20:40  ," FAC - ICC Norte, Bloco A, Térreo - Sala 06",30h,25
107,DAP0096,OFICINA BÁSICA DE AUDIOVISUAL,,ARMANDO BULCAO,Segunda-feira 14:00 às 15:50  ," FAC - ICC Norte, Bloco A, Térreo - Sala 07",30h,25
108,DAP0096,OFICINA BÁSICA DE AUDIOVISUAL,,CARLOS HENRIQUE NOVIS,Segunda-feira 16:00 às 17:50  ," FAC - ICC Norte, Bloco A, Térreo - Sala 07",30h,30
109,DAP0096,OFICINA BÁSICA DE AUDIOVISUAL,,RAQUEL PACHECO MELLO CUNHA,Quarta-feira 08:00 às 09:50  ," FAC - ICC Norte, Bloco A, Térreo - Sala 02",30h,35
110,DAP0098,INTRODUÇÃO A PUBLICIDADE E PROPAGANDA,,RENATA ALVES DE ALBUQUERQUE OTHON,Quinta-feira 14:00 às 15:50  ," FAC - ICC Norte, Bloco A, Térreo - Sala 02",30h,35
111,DAP0098,INTRODUÇÃO A PUBLICIDADE E PROPAGANDA,,RENATA ALVES DE ALBUQUERQUE OTHON,Segunda-feira 14:00 às 15:50  ," FAC - ICC Norte, Bloco A, Térreo - Sala 02",30h,36
112,DAP0100,COMUNICAÇÃO E GÊNERO,,EMILIA SILVEIRA SILBERSTEIN,Segunda-feira 14:00 às 17:50  ," FAC -ICC Norte, bloco A, Mezanino - Sala 13",60h,20
113,DAP0101,FUNDAMENTOS DE COMUNICAÇÃO VISUAL,,PRISCILA MONTEIRO BORGES,Quinta-feira 14:00 às 17:50  ," FAC -ICC Norte, bloco A, Mezanino- Lab. Jornalismo",15h,23
114,DAP0101,FUNDAMENTOS DE COMUNICAÇÃO VISUAL,,RAFAEL DIETZSCH,Quinta-feira 14:00 às 17:50  ," FAC -ICC Norte, bloco A, Mezanino- Lab. Jornalismo",30h,23
115,DAP0101,FUNDAMENTOS DE COMUNICAÇÃO VISUAL,,LUCIANO MENDES DE SOUZA,Quinta-feira 14:00 às 17:50  ," FAC -ICC Norte, bloco A, Mezanino- Lab. Jornalismo",15h,23
116,DAP0101,FUNDAMENTOS DE COMUNICAÇÃO VISUAL,,ISABELA LARA OLIVEIRA,Terça-feira 14:00 às 17:50  ," FAC -ICC Norte, Mezanino, Térreo - Lab. Jornalismo",60h,22
117,DAP0103,LINGUAGENS CINEMATOGRÁFICA E AUDIOVISUAL,,JOAO BATISTA LANARI BO,Terça-feira 08:00 às 11:50  ," FAC -ICC Norte, bloco A, Mezanino - Sala 12",60h,30
118,DAP0104,TEORIA ESTÉTICA DO CINEMA E DO AUDIOVISUAL,,MARIANA SOUTO DE MELO SILVA,Quarta-feira 08:00 às 11:50  ," FAC - ICC Norte, Bloco A, Térreo - Sala 13",60h,40
119,DAP0105,OFICINA DE ARGUMENTO E ROTEIRO,,DENISE MORAES CAVALCANTE,Terça-feira 10:00 às 11:50  ," FAC - ICC Norte, Bloco A, Térreo - Sala 11",30h,25
120,DAP0107,DIREÇÃO,,MAURO GIUNTINI VIANA,Segunda-feira 10:00 às 11:50  ," FAC - ICC Norte, Bloco A, Térreo - Sala 11",30h,25
121,DAP0108,PRODUÇÃO,,SERGIO RIBEIRO DE AGUIAR SANTOS,Segunda-feira 08:00 às 09:50  ," FAC - ICC Norte, Bloco A, Térreo - Sala 11",30h,25
122,DAP0110,SOM 1,,MAURICIO GOMES DA SILVA FONTELES,Quarta-feira 08:00 às 11:50  ," FAC - ICC Norte, Bloco A, Térreo - Sala 11",60h,25
123,DAP0111,EDIÇÃO E MONTAGEM,,MAURICIO GOMES DA SILVA FONTELES,Quinta-feira 10:00 às 11:50  ," FAC - ICC Norte, Bloco A, Térreo - Sala 11",30h,25
124,DAP0115,PRÉ-PROJETO EM AUDIOVISUAL,,DENISE MORAES CAVALCANTE,Sexta-feira 14:00 às 17:50  ," FAC - ICC Norte, Bloco A, Térreo - Sala 06",60h,22
125,DAP0117,INTRODUÇÃO A LINGUAGEM SONORA,,SERGIO RIBEIRO DE AGUIAR SANTOS,Terça-feira 14:00 às 15:50Quinta-feira 16:00 às 17:50  ," FAC - ICC Norte, Bloco A, Térreo - Sala 01",60h,30
126,DAP0118,"ROTEIRO, PRODUÇÃO E REALIZAÇÃO EM ÁUDIO",,SERGIO RIBEIRO DE AGUIAR SANTOS,Terça-feira 16:00 às 17:50Quinta-feira 14:00 às 15:50  ," FAC - ICC Norte, Bloco A, Térreo - Sala 01",60h,23
127,DAP0120,FOTOGRAFIA PUBLICITÁRIA,,MARCELO FEIJO ROCHA LIMA,Sexta-feira 08:00 às 11:50  ," FAC - ICC Norte, Bloco A, Térreo - Estúdio B",60h,25
128,DAP0123,MARKETING EM PUBLICIDADE E PROPAGANDA,,MARIA FERNANDA DANGELO VALENTIM,Segunda-feira 14:00 às 17:50Quarta-feira 08:00 às 09:50  , Local à definir.,90h,35
129,DAP0124,REDAÇÃO PUBLICITÁRIA,,BEATRIZ BERALDO BATISTA,Quarta-feira 08:00 às 11:50  ," FAC - ICC Norte, Bloco A, Térreo - Sala 07",48h,32
130,DAP0124,REDAÇÃO PUBLICITÁRIA,,SUELEN BRANDES MARQUES VALENTE,Quarta-feira 08:00 às 11:50  ," FAC - ICC Norte, Bloco A, Térreo - Sala 07",12h,32
131,DAP0125,DIREÇÃO DE ARTE EM ARTES GRÁFICAS,,RAFAEL DIETZSCH,Terça-feira 10:00 às 11:50Quinta-feira 10:00 às 11:50  ," FAC - ICC Norte, Bloco A, Térreo - Sala 06",60h,26
132,DAP0126,PLANEJAMENTO PUBLICITÁRIO,,MARIA FERNANDA DANGELO VALENTIM,Segunda-feira 08:00 às 11:50  ," FAC - ICC Norte, Bloco A, Térreo - Sala 06",60h,20
133,DAP0126,PLANEJAMENTO PUBLICITÁRIO,,BEATRIZ BERALDO BATISTA,Segunda-feira 08:00 às 11:50  , presencial,60h,20
134,DAP0128,LABORATÓRIO EM PUBLICIDADE E PROPAGANDA,,LUCIANO MENDES DE SOUZA,Terça-feira 08:00 às 11:50Quarta-feira 08:00 às 11:50Quinta-feira 08:00 às 11:50Sexta-feira 08:00 às 11:50  ," FAC -ICC Norte, Bloco A,Mezanio  - Lab.Publicidade",240h,15
135,DAP0128,LABORATÓRIO EM PUBLICIDADE E PROPAGANDA,,CARINA LUISA OCHI FLEXOR,Terça-feira 08:00 às 11:50Quarta-feira 08:00 às 11:50Quinta-feira 08:00 às 11:50Sexta-feira 08:00 às 11:50  ," FAC -ICC Norte, Bloco A,Mezanio - Lab.Publicidade",72h,15
136,DAP0128,LABORATÓRIO EM PUBLICIDADE E PROPAGANDA,,CARINA LUISA OCHI FLEXOR,Terça-feira 08:00 às 11:50Quarta-feira 08:00 às 11:50Quinta-feira 08:00 às 11:50Sexta-feira 08:00 às 11:50  ," FAC -ICC Norte, Bloco A,Mezanio - Lab.Publicidade",168h,15
137,DAP0130,PRÉ-PROJETO EM PUBLICIDADE E PROPAGANDA,,PRISCILA MONTEIRO BORGES,Terça-feira 08:00 às 11:50  ," FAC - ICC Norte, Bloco A, Térreo - Sala 04",60h,28
138,DAP0143,TÓPICOS ESPECIAIS EM COMUNICAÇÃO 3,,RENATA ALVES DE ALBUQUERQUE OTHON,Quarta-feira 08:00 às 11:50  ," FAC -ICC Norte,Bloco A,Mezanio - Lab.Multimídia II",60h,18
139,DAP0143,TÓPICOS ESPECIAIS EM COMUNICAÇÃO 3,,RAFAEL DIETZSCH,Quarta-feira 08:00 às 11:50  , presencial,30h,10
140,DAP0143,TÓPICOS ESPECIAIS EM COMUNICAÇÃO 3,,PRISCILA MONTEIRO BORGES,Quarta-feira 08:00 às 11:50  , presencial,30h,10
141,DAP0145,TÓPICOS ESPECIAIS EM COMUNICAÇÃO 4,,RAQUEL PACHECO MELLO CUNHA,Segunda-feira 08:00 às 11:50  , A definir,60h,20
142,DAP0147,DIREÇÃO DE ARTE PARA PRODUTO AUDIOVISUAL,,MARIANA SOUTO DE MELO SILVA,Sexta-feira 08:00 às 11:50  , FAC - a definir,60h,30
